Periode,Data
1,3983
2,4042
3,3881
4,3812
5,3832
6,3801
7,3733
8,3708
9,3704
10,3785
11,3830
12,3762
13,3750
14,3669
15,3620
16,3641
17,3573
18,3601
19,3484
20,3544
21,3619
22,3492
23,3534
24,3706
25,3691
26,3556
27,3589
28,3633
29,3632
30,3607
31,3661
32,3593
33,3527
34,3926
35,3937
36,3784
37,3752
38,3781
39,3786
40,3699
41,3748
42,3655
43,3652
44,3587
45,3461
46,3407
47,3347
48,3413
49,3319
50,3402
51,3418
52,3463
53,3545
54,3367
55,3636
56,3553
57,3651
58,3587
59,3464
60,3490
61,3424
62,3460
63,3320
64,3257
65,3282
66,3139
67,3130
68,3130
69,3099
70,3131
71,3158
72,3172
73,3117
74,3115
75,3087
76,3030
77,2992
78,2996
79,3099
80,2983
81,3065
82,3014
83,2944
84,2777
85,2700
86,2673
87,2491
88,2475
89,2325
90,2346
91,2528
92,2557
93,2732
94,2608
95,2681
96,2716
97,2506
98,2385
99,2557
100,2502
101,2553
102,2475
103,2451
104,2480
105,2480
106,2434
107,2535
108,2428
109,2570
110,2687
111,2629
112,2646
113,2624
114,2553
115,2449
116,2522
117,2619
118,2466
119,2487
120,2358
121,2359
122,2305
123,2275
124,2327
125,2272
126,2302
127,2287
128,2282
129,2329
130,2354
131,2338
132,2363
133,2272
134,2278
135,2229
136,2211
137,2194
138,2152
139,2129
140,2155
141,2190
142,2144
143,2092
144,2110
145,2034
146,1987
147,1986
148,1984
149,2019
150,1954
151,1954
