Bulan;IDR/gram
May 2014;549000
June 2014;557400
July 2014;550400
August 2014;550800
September 2014;554667
October 2014;547000
November 2014;539600
December 2014;549800
January 2015;581166
February 2015;564600
March 2015;561800
April 2015;568285
May 2015;576833
June 2015;576166
July 2015;567000
August 2015;575500
September 2015;596600
October 2015;582571
November 2015;568857
December 2015;567000
January 2016;565666
February 2016;588500
March 2016;588564
April 2016;588000
May 2016;606500
June 2016;610714
July 2016;621285
August 2016;629666
September 2016;624833
October 2016;619500
November 2016;610166
December 2016;603600
January 2017;610166
February 2017;612833
March 2017;606571
April 2017;617333
May 2017;604833
June 2017;606750
July 2017;609666
August 2017;619000
September 2017;629000
October 2017;640000
November 2017;638000
December 2017;635000
January 2018;643000
February 2018;658000
March 2018;656000
April 2018;673000
May 2018;666000
June 2018;660000
July 2018;656000
August 2018;645000
September 2018;664000
October 2018;679000
November 2018;664000
December 2018;664000
January 2019;672000
February 2019;680000
March 2019;675500
April 2019;665000
May 2019;674000
June 2019;688000
July 2019;706000
August 2019;768000
September 2019;762000
October 2019;767000
November 2019;756000
December 2019;761000
January 2020;777000
February 2020;788000
March 2020;810000
April 2020;951000
May 2020;934000
June 2020;895000
July 2020;949000
August 2020;1030000
September 2020;1030000
October 2020;1008000
November 2020;980000
December 2020;962000
January 2021;948000
February 2021;930000
March 2021;935000
April 2021;937000
May 2021;948000
June 2021;928000
July 2021;950000
August 2021;946000
September 2021;922000
October 2021;914000
November 2021;952000
December 2021;924000
January 2022;939000
February 2022;972000
March 2022;991000
April 2022;1006000
May 2022;967000
June 2022;984000
July 2022;967000
August 2022;988000
September 2022;942000
October 2022;940000
November 2022;973000
December 2022;1013000
January 2023;1032000
February 2023;1019000
March 2023;1063000
April 2023;1066000
May 2023;1057000
June 2023;1061000
July 2023;1073000
August 2023;1060000
September 2023;1075000
October 2023;1085000
November 2023;1095000
December 2023;1114000
January 2024;1121000
February 2024;1131000
March 2024;1193000
April 2024;1321000
