high;low;volume
14.53;14.19;13424502
14.70;14.33;5890059
14.77;14.53;15573948
14.69;14.55;22498722
14.84;14.65;8925387
14.81;14.63;3612902
14.77;14.66;8882964
14.59;14.37;5203714
14.52;14.36;8318238
14.47;14.23;6682411
13.90;13.64;12793686
13.89;13.58;15307766
13.94;13.69;18840551
13.94;13.61;13791032
14.07;13.87;17338661
14.18;13.88;16301536
13.93;13.71;11804556
13.94;13.81;8324545
13.94;13.70;5230154
13.78;13.60;5851206
14.10;13.88;10412003
14.14;13.94;4596950
13.94;13.77;6998882
13.87;13.70;6132208
13.83;13.72;3717757
13.85;13.72;4183782
13.73;13.59;6763637
13.89;13.60;10180377
13.97;13.81;8810005
14.00;13.85;7462331
14.00;13.86;6554679
13.90;13.77;16487387
13.72;13.49;4659265
13.47;13.26;7134270
13.41;13.23;7686244
13.40;13.28;4728196
13.56;13.31;15866847
14.32;13.82;32448282
14.64;14.30;9656115
14.68;14.40;16305535
14.59;14.47;15149883
14.67;14.28;15653859
14.57;14.39;14594872
14.41;14.18;3636173
14.09;13.76;6627375
13.74;13.51;5569305
13.65;13.40;4819873
13.51;13.13;13049548
13.38;13.15;7055457
13.28;13.04;6931066
13.21;12.94;6919282
13.26;12.85;6409728
13.10;12.65;10325603
12.80;12.36;5751405
12.59;12.44;6267801
12.82;12.56;4525228
12.77;12.56;6881706
12.87;12.63;5700491
12.94;12.68;6467407
12.83;12.52;12567367
12.66;12.45;1917867
12.74;12.53;12347131
12.88;12.53;21470838
13.08;12.73;5708439
13.38;13.09;8635970
13.45;13.23;5085282
13.47;13.26;7990633
13.59;13.36;7397860
13.92;13.49;8994851
13.78;13.60;6581679
13.92;13.72;6587844
14.19;13.94;6067110
14.27;14.01;4875022
14.01;13.69;6150337
14.10;13.83;6733473
14.41;14.10;10026824
14.28;13.82;13383773
14.15;13.86;7069463
14.34;13.98;7256663
14.34;14.07;14850615
14.33;14.14;4590713
14.38;14.09;4472923
14.14;13.91;8125033
14.27;14.03;4205594
14.44;14.23;6592084
14.43;14.22;5126424
14.45;14.23;4678477
14.32;13.97;9109048
13.95;13.63;6147404
13.87;13.70;5020819
14.10;13.74;5864343
14.18;13.80;3762971
14.16;13.77;4715143
14.38;14.02;5468324
14.56;14.36;6208875
14.54;14.37;4052594
14.77;14.51;8816222
14.82;14.57;5636046
14.95;14.64;8908103
14.74;14.46;6975835
14.67;14.47;4950950
14.69;14.56;7777126
14.78;14.56;4078331
15.00;14.78;4454748
15.03;14.89;3639909
15.19;15.00;4449664
15.11;14.90;5508978
15.10;14.86;6910004
15.31;14.67;17400412
15.20;15.01;6869537
15.59;15.19;6922644
15.66;15.39;10035752
15.41;15.09;15736300
15.24;14.92;11897805
15.16;14.88;5421084
15.07;14.86;7725855
15.19;14.94;4518505
14.90;14.63;8384914
14.78;14.60;5301849
14.77;14.56;5231570
14.78;14.58;4590942
14.76;14.56;4315984
14.59;14.38;4468139
14.51;14.36;5297755
14.70;14.47;5348788
14.75;14.64;3487490
14.69;14.55;15432390
14.67;14.47;4315801
14.52;14.39;4333479
14.44;14.25;4250601
14.41;14.08;6236249
14.13;13.98;7684944
14.39;14.09;12602100
14.50;14.33;8464034
14.69;14.35;5720010
14.66;14.43;5006379
14.44;14.23;5181399
14.47;14.35;5257987
14.44;14.18;8125332
14.53;14.28;7409070
14.47;14.35;7962371
14.13;13.95;6986347
14.11;13.94;9080059
14.00;13.91;6377030
;;
;;
;;
;;
;;
;;
;;
