t;Yt;Y(t-1);Xt
1;13424502;;14.19
2;5890059;13424502;14.33
3;15573948;5890059;14.53
4;22498722;15573948;14.55
5;8925387;22498722;14.65
6;3612902;8925387;14.63
7;8882964;3612902;14.66
8;5203714;8882964;14.37
9;8318238;5203714;14.36
10;6682411;8318238;14.23
11;12793686;6682411;13.64
12;15307766;12793686;13.58
13;18840551;15307766;13.69
14;13791032;18840551;13.61
15;17338661;13791032;13.87
16;16301536;17338661;13.88
17;11804556;16301536;13.71
18;8324545;11804556;13.81
19;5230154;8324545;13.70
20;5851206;5230154;13.60
21;10412003;5851206;13.88
22;4596950;10412003;13.94
23;6998882;4596950;13.77
24;6132208;6998882;13.70
25;3717757;6132208;13.72
26;4183782;3717757;13.72
27;6763637;4183782;13.59
28;10180377;6763637;13.60
29;8810005;10180377;13.81
30;7462331;8810005;13.85
31;6554679;7462331;13.86
32;16487387;6554679;13.77
33;4659265;16487387;13.49
34;7134270;4659265;13.26
35;7686244;7134270;13.23
36;4728196;7686244;13.28
37;15866847;4728196;13.31
38;32448282;15866847;13.82
39;9656115;32448282;14.30
40;16305535;9656115;14.40
41;15149883;16305535;14.47
42;15653859;15149883;14.28
43;14594872;15653859;14.39
44;3636173;14594872;14.18
45;6627375;3636173;13.76
46;5569305;6627375;13.51
47;4819873;5569305;13.40
48;13049548;4819873;13.13
49;7055457;13049548;13.15
50;6931066;7055457;13.04
51;6919282;6931066;12.94
52;6409728;6919282;12.85
53;10325603;6409728;12.65
54;5751405;10325603;12.36
55;6267801;5751405;12.44
56;4525228;6267801;12.56
57;6881706;4525228;12.56
58;5700491;6881706;12.63
59;6467407;5700491;12.68
60;12567367;6467407;12.52
61;1917867;12567367;12.45
62;12347131;1917867;12.53
63;21470838;12347131;12.53
64;5708439;21470838;12.73
65;8635970;5708439;13.09
66;5085282;8635970;13.23
67;7990633;5085282;13.26
68;7397860;7990633;13.36
69;8994851;7397860;13.49
70;6581679;8994851;13.60
71;6587844;6581679;13.72
72;6067110;6587844;13.94
73;4875022;6067110;14.01
74;6150337;4875022;13.69
75;6733473;6150337;13.83
76;10026824;6733473;14.10
77;13383773;10026824;13.82
78;7069463;13383773;13.86
79;7256663;7069463;13.98
80;14850615;7256663;14.07
81;4590713;14850615;14.14
82;4472923;4590713;14.09
83;8125033;4472923;13.91
84;4205594;8125033;14.03
85;6592084;4205594;14.23
86;5126424;6592084;14.22
87;4678477;5126424;14.23
88;9109048;4678477;13.97
89;6147404;9109048;13.63
90;5020819;6147404;13.70
91;5864343;5020819;13.74
92;3762971;5864343;13.80
93;4715143;3762971;13.77
94;5468324;4715143;14.02
95;6208875;5468324;14.36
96;4052594;6208875;14.37
97;8816222;4052594;14.51
98;5636046;8816222;14.57
99;8908103;5636046;14.64
100;6975835;8908103;14.46
101;4950950;6975835;14.47
102;7777126;4950950;14.56
103;4078331;7777126;14.56
104;4454748;4078331;14.78
105;3639909;4454748;14.89
106;4449664;3639909;15.00
107;5508978;4449664;14.90
108;6910004;5508978;14.86
109;17400412;6910004;14.67
110;6869537;17400412;15.01
111;6922644;6869537;15.19
112;10035752;6922644;15.39
113;15736300;10035752;15.09
114;11897805;15736300;14.92
115;5421084;11897805;14.88
116;7725855;5421084;14.86
117;4518505;7725855;14.94
118;8384914;4518505;14.63
119;5301849;8384914;14.60
120;5231570;5301849;14.56
121;4590942;5231570;14.58
122;4315984;4590942;14.56
123;4468139;4315984;14.38
124;5297755;4468139;14.36
125;5348788;5297755;14.47
126;3487490;5348788;14.64
127;15432390;3487490;14.55
128;4315801;15432390;14.47
129;4333479;4315801;14.39
130;4250601;4333479;14.25
131;6236249;4250601;14.08
132;7684944;6236249;13.98
133;12602100;7684944;14.09
134;8464034;12602100;14.33
135;5720010;8464034;14.35
136;5006379;5720010;14.43
137;5181399;5006379;14.23
138;5257987;5181399;14.35
139;8125332;5257987;14.18
140;7409070;8125332;14.28
141;7962371;7409070;14.35
142;6986347;7962371;13.95
143;9080059;6986347;13.94
144;6377030;9080059;13.91
;;6377030;
